,Name,Address,Location,MinPrice,MaxPrice,Currency,Cuisine,Award,MeanPrice,USDPrice,Country
2739,Le Moulin de la Gorce,"La Gorce, La Roche-l'Abeille, 87800, France",La Roche-l'Abeille,95,115,EUR,Classic,1 MICHELIN Star,105.0,116.5605, France
2740,Auberge du Pont,"70 avenue du Docteur-Besserve, Pont-du-Château, 63430, France",Pont-du-Château,33,160,EUR,Modern,1 MICHELIN Star,96.5,107.12465, France
2741,Septime,"80 rue de Charonne, Paris, 75011, France",Paris,65,110,EUR,Modern,1 MICHELIN Star,87.5,97.13375, France
2742,Le Chiberta,"3 rue Arsène-Houssaye, Paris, 75008, France",Paris,120,220,EUR,Modern,1 MICHELIN Star,170.0,188.717, France
2743,Les Berceaux,"13 rue des Berceaux, Epernay, 51200, France",Epernay,51,98,EUR,Classic,1 MICHELIN Star,74.5,82.70245, France
2744,Anne,"28 place des Vosges, Paris, 75003, France",Paris,39,150,EUR,Contemporary,1 MICHELIN Star,94.5,104.90445, France
2745,L'Atlantide 1874 - Maison Guého,"5 rue de l'Hermitage, Nantes, 44100, France",Nantes,45,130,EUR,Modern,1 MICHELIN Star,87.5,97.13375, France
2746,Jérôme Nutile,"351 chemin Bas-du-Mas-de-Boudan, Nîmes, 30000, France",Nîmes,52,190,EUR,Modern,1 MICHELIN Star,121.0,134.3221, France
2747,Le Bénaton,"25 rue du Faubourg-Bretonnière, Beaune, 21200, France",Beaune,35,141,EUR,Creative,1 MICHELIN Star,88.0,97.6888, France
2748,Le Jardin Secret,"32 rue de la Gare, La Wantzenau, 67610, France",La Wantzenau,38,80,EUR,Modern,1 MICHELIN Star,59.0,65.4959, France
2749,La Ville Blanche,"Lieu-dit Ville-Blanche, Lannion, 22300, France",Lannion,55,98,EUR,Modern,1 MICHELIN Star,76.5,84.92265, France
2750,Qui Plume la Lune,"50 rue  Amelot, Paris, 75011, France",Paris,60,120,EUR,Modern,1 MICHELIN Star,90.0,99.909, France
2751,Maison Tiegezh,"7 place de la Gare, Guer, 56380, France",Guer,39,93,EUR,Modern,1 MICHELIN Star,66.0,73.2666, France
2752,MoSuke,"11 rue Raymond-Losserand, Paris, 75014, France",Paris,55,110,EUR,Modern,1 MICHELIN Star,82.5,91.58325, France
2753,Les Loges,"Cour des Loges, 6 rue du Bœuf, Lyon, 69005, France",Lyon,115,135,EUR,Modern,1 MICHELIN Star,125.0,138.7625, France
2754,Le Mascaret,"1 rue de Bas, Blainville-sur-Mer, 50560, France",Blainville-sur-Mer,26,106,EUR,Modern,1 MICHELIN Star,66.0,73.2666, France
2755,L'Odas,"4 passage Maurice-Lenfant, Rouen, 76000, France",Rouen,39,130,EUR,Creative,1 MICHELIN Star,84.5,93.80345, France
2756,Moulin de la Tardoire,"Lieu-dit La Forge, Montbron, 16220, France",Montbron,26,69,EUR,Modern,1 MICHELIN Star,47.5,52.72975, France
2757,Le Fanal,"18 avenue Pierre-Fabre, Banyuls-sur-Mer, 66650, France",Banyuls-sur-Mer,38,110,EUR,Modern,1 MICHELIN Star,74.0,82.1474, France
2758,Les Fresques - Château des Vigiers,"Au Vigier, Monestier, 24240, France",Monestier,55,120,EUR,Modern,1 MICHELIN Star,87.5,97.13375, France
2759,Comice,"31 avenue de Versailles, Paris, 75016, France",Paris,104,110,EUR,Modern,1 MICHELIN Star,107.0,118.7807, France
2760,La Petite Maison de Cucuron,"Place de l'Étang, Cucuron, 84160, France",Cucuron,65,95,EUR,Classic,1 MICHELIN Star,80.0,88.808, France
2761,Assa,"189 quai Ulysse-Besnard, Blois, 41000, France",Blois,64,116,EUR,Creative,1 MICHELIN Star,90.0,99.909, France
2762,L'Or Bleu,"6 boulevard de l'Esquillon, Théoule-sur-Mer, 06590, France",Théoule-sur-Mer,95,149,EUR,Mediterranean,1 MICHELIN Star,122.0,135.4322, France
2763,Au 14 Février,"36 rue du Bœuf, Lyon, 69005, France",Lyon,98,98,EUR,Creative,1 MICHELIN Star,98.0,108.7898, France
2764,Likoké,"7 route de Païolive, Les Vans, 07140, France",Les Vans,54,155,EUR,Creative,1 MICHELIN Star,104.5,116.00545, France
2765,LuluRouget,"4 place Albert-Camus, Nantes, 44200, France",Nantes,45,105,EUR,Modern,1 MICHELIN Star,75.0,83.2575, France
2766,Auberge des Templiers,"20 route Départementale 2007, Boismorand, 45290, France",Boismorand,59,160,EUR,Modern,1 MICHELIN Star,109.5,121.55595, France
2767,Les Ducs de Lorraine,"5 avenue de Provence, Epinal, 88000, France",Epinal,50,190,EUR,Modern,1 MICHELIN Star,120.0,133.212, France
2768,Étude,"14 rue du Bouquet-de-Longchamp, Paris, 75016, France",Paris,45,150,EUR,Modern,1 MICHELIN Star,97.5,108.23475, France
2769,Le Refuge des Gourmets,"90 route des Framboises, Machilly, 74140, France",Machilly,75,110,EUR,Modern,1 MICHELIN Star,92.5,102.68425, France
2770,Le Grand Cerf,"50 route Nationale, Montchenot, 51500, France",Montchenot,39,160,EUR,Classic,1 MICHELIN Star,99.5,110.45495, France
2771,Le Rigmarole,"10 rue du Grand-Prieuré, Paris, 75011, France",Paris,79,79,EUR,Asian,1 MICHELIN Star,79.0,87.6979, France
2772,Mickaël Féval,"11 Petite-Rue-Saint-Jean, Aix-en-Provence, 13100, France",Aix-en-Provence,53,110,EUR,Modern,1 MICHELIN Star,81.5,90.47315, France
2773,Auberge La Fenière,"1680 route de Lourmarin, Cadenet, 84160, France",Cadenet,120,160,EUR,Creative,1 MICHELIN Star,140.0,155.414, France
2774,Le Figuier de Saint-Esprit,"14 rue Saint-Esprit, Antibes, 06600, France",Antibes,55,200,EUR,Provençal,1 MICHELIN Star,127.5,141.53775, France
2775,Baumanière 1850,"Le Strato, Route de Bellecôte, Courchevel 1850, Courchevel, 73120, France",Courchevel,195,245,EUR,Modern,1 MICHELIN Star,220.0,244.222, France
2776,Aux Pesked,"59 rue du Légué, Saint-Brieuc, 22000, France",Saint-Brieuc,58,105,EUR,Seafood,1 MICHELIN Star,81.5,90.47315, France
2777,Le Cerf,"30 rue du Général-de-Gaulle, Marlenheim, 67520, France",Marlenheim,51,119,EUR,Modern,1 MICHELIN Star,85.0,94.3585, France
2778,Grand Hôtel du Lion d'Or,"69 rue Clemenceau, Romorantin-Lanthenay, 41200, France",Romorantin-Lanthenay,64,170,EUR,Modern,1 MICHELIN Star,117.0,129.8817, France
2779,Allium,"88 boulevard de Créac'h Gwen, Quimper, 29000, France",Quimper,34,118,EUR,Creative,1 MICHELIN Star,76.0,84.3676, France
2780,Les Funambules,"17 rue Geiler, Strasbourg, 67000, France",Strasbourg,34,75,EUR,Modern,1 MICHELIN Star,54.5,60.50045, France
2781,Jin,"6 rue de la Sourdière, Paris, 75001, France",Paris,170,500,EUR,Japanese,1 MICHELIN Star,335.0,371.8835, France
2782,Les Apothicaires,"23 rue de Sèze, Lyon, 69006, France",Lyon,43,96,EUR,Creative,1 MICHELIN Star,69.5,77.15195, France
2783,Au 14 Février,"2 rue du Portail, Saint-Valentin, 36100, France",Saint-Valentin,75,98,EUR,Modern,1 MICHELIN Star,86.5,96.02365, France
2784,Le M,"22 rue du Commandant-Drogou, Brest, 29200, France",Brest,52,120,EUR,Modern,1 MICHELIN Star,86.0,95.4686, France
2785,L'Ostal,"16 rue Claussmann, Clermont-Ferrand, 63000, France",Clermont-Ferrand,35,98,EUR,Modern,1 MICHELIN Star,66.5,73.82165, France
2786,L'Almandin,"Boulevard de l'Almandin, St-Cyprien Sud, Saint-Cyprien, 66750, France",Saint-Cyprien,49,125,EUR,Modern,1 MICHELIN Star,87.0,96.5787, France
2787,La Marine,"11 rue de Paris, à Carteret, Barneville-Carteret, 50270, France",Barneville-Carteret,56,130,EUR,Modern,1 MICHELIN Star,93.0,103.2393, France
2788,Pont de l'Ouysse,"Lacave, 46200, France",Lacave,45,136,EUR,Modern,1 MICHELIN Star,90.5,100.46405, France
2789,Au Gourmet,"4 route de Herrlisheim, Drusenheim, 67410, France",Drusenheim,29,82,EUR,Modern,1 MICHELIN Star,55.5,61.61055, France
2790,1912 - Les Cures Marines,"Boulevard de la Cahotte, Trouville-sur-Mer, 14360, France",Trouville-sur-Mer,85,145,EUR,Modern,1 MICHELIN Star,115.0,127.6615, France
2791,Marcore,"1 rue des Panoramas, Paris, 75002, France",Paris,95,120,EUR,Modern,1 MICHELIN Star,107.5,119.33575, France
2792,Château de Courban,"7 rue du Lavoir, Courban, 21520, France",Courban,69,129,EUR,Modern,1 MICHELIN Star,99.0,109.8999, France
2793,Benoit,"20 rue Saint-Martin, Paris, 75004, France",Paris,39,114,EUR,Classic,1 MICHELIN Star,76.5,84.92265, France
